Category,Term,Count,%,PValue,Genes,List Total,Pop Hits,Pop Total,Fold Enrichment,Bonferroni,Benjamini,FDR,treatment,term_clean,-log10(p),gene_ratio
GOTERM_BP_FAT,GO:0006950~response to stress,8,50.0,0.0071353633514926,"54541, 3437, 664, 3434, 3312, 3433, 9636, 56901",14,3835,19104,2.8465636058856396,0.9889379217585508,0.2759525307281961,0.2741948712968063,nZF139,response to stress,2.1465839065675087,0.5714285714285714
GOTERM_BP_FAT,GO:0012501~programmed cell death,5,31.25,0.0073413760129689,"54541, 664, 3433, 3486, 3397",14,1216,19104,5.610902255639098,0.9902915550608996,0.2759525307281961,0.2741948712968063,nZF139,programmed cell death,2.1342225315237724,0.35714285714285715
GOTERM_BP_FAT,GO:0008219~cell death,5,31.25,0.0074700525834065,"54541, 664, 3433, 3486, 3397",14,1222,19104,5.583352817395371,0.9910517795194276,0.2759525307281961,0.2741948712968063,nZF139,cell death,2.1266763410757785,0.35714285714285715
GOTERM_BP_FAT,GO:0031400~negative regulation of protein modification process,3,18.75,0.0090622633044958,"3312, 3486, 9636",14,215,19104,19.04053156146179,0.996740393902479,0.3161722975124119,0.3141584612225239,nZF139,negative regulation of protein modification process,2.042763323526473,0.21428571428571427
GOTERM_MF_FAT,GO:0140678~molecular function inhibitor activity,4,25.0,0.0100661182972272,"3434, 3399, 3397, 56901",13,677,17305,7.865015339166005,0.6400641826277641,1.0,1.0,nZF139,molecular function inhibitor activity,1.9971379700712943,0.3076923076923077
GOTERM_BP_FAT,GO:0070887~cellular response to chemical stimulus,6,37.5,0.0102056304231532,"54541, 664, 3434, 3312, 3399, 56901",14,2129,19104,3.845668657317318,0.998423144868146,0.3373229424073821,0.3351743886340867,nZF139,cellular response to chemical stimulus,1.9911601628400952,0.42857142857142855
GOTERM_BP_FAT,GO:0009605~response to external stimulus,6,37.5,0.0109075431870537,"54541, 3437, 664, 3434, 3433, 9636",14,2163,19104,3.7852189419457103,0.9989907385753736,0.3424968560734884,0.3403153474360776,nZF139,response to external stimulus,1.9622730588030282,0.42857142857142855
GOTERM_BP_FAT,GO:0051094~positive regulation of developmental process,5,31.25,0.0131752135115526,"664, 3312, 3486, 9636, 124936",14,1438,19104,4.744685078482019,0.9997617729812682,0.394001623107385,0.3914920586289941,nZF139,positive regulation of developmental process,1.8802423380783935,0.35714285714285715
GOTERM_BP_FAT,GO:0022008~neurogenesis,5,31.25,0.0148485406969885,"54541, 664, 3399, 3397, 124936",14,1489,19104,4.5821740381847835,0.9999180799622576,0.423858343532218,0.4211586088600382,nZF139,neurogenesis,1.8283162263728547,0.35714285714285715
GOTERM_BP_FAT,GO:0001666~response to hypoxia,3,18.75,0.0184147591018443,"54541, 664, 56901",14,312,19104,13.12087912087912,0.9999916300202872,0.5028029876503585,0.4996004208500377,nZF139,response to hypoxia,1.7348339581245193,0.21428571428571427
GOTERM_BP_FAT,GO:0036293~response to decreased oxygen levels,3,18.75,0.0199997689025856,"54541, 664, 56901",14,326,19104,12.557405784399648,0.9999969712318612,0.5121068280953143,0.5088450011647708,nZF139,response to decreased oxygen levels,1.6989750225816043,0.21428571428571427
GOTERM_BP_FAT,GO:0045087~innate immune response,4,25.0,0.0207877453753487,"3437, 3434, 3433, 9636",14,898,19104,6.0782691695832005,0.9999981738673602,0.5121068280953143,0.5088450011647708,nZF139,innate immune response,1.6821926113969106,0.2857142857142857
GOTERM_BP_FAT,GO:0009892~negative regulation of metabolic process,7,43.75,0.0212018750485321,"54541, 3312, 3399, 3486, 3397, 9636, 56901",14,3547,19104,2.692979983084297,0.9999986004836912,0.5121068280953143,0.5088450011647708,nZF139,negative regulation of metabolic process,1.6736257292966623,0.5
GOTERM_BP_FAT,GO:0045597~positive regulation of cell differentiation,4,25.0,0.0236489574709036,"3312, 3486, 9636, 124936",14,943,19104,5.78821390698379,0.9999997101519166,0.5146545088686417,0.5113764546720262,nZF139,positive regulation of cell differentiation,1.6261879997301176,0.2857142857142857
GOTERM_BP_FAT,GO:0070482~response to oxygen levels,3,18.75,0.0238318508355785,"54541, 664, 56901",14,358,19104,11.434956105347169,0.9999997423712744,0.5146545088686417,0.5113764546720262,nZF139,response to oxygen levels,1.6228422280494699,0.21428571428571427
GOTERM_BP_FAT,GO:0034097~response to cytokine,4,25.0,0.0238471524626491,"3437, 3434, 3433, 9636",14,946,19104,5.769858048927817,0.9999997448989542,0.5146545088686417,0.5113764546720262,nZF139,response to cytokine,1.6225634717009998,0.2857142857142857
GOTERM_MF_FAT,GO:0098772~molecular function regulator activity,6,37.5,0.0238875479053085,"3434, 3312, 3399, 3486, 3397, 56901",13,2596,17305,3.0766267630674413,0.9130068302027754,1.0,1.0,nZF139,molecular function regulator activity,1.621828428979724,0.46153846153846156
GOTERM_BP_FAT,GO:1901652~response to peptide,4,25.0,0.0250559267898098,"3437, 3434, 3433, 9636",14,964,19104,5.66212211025489,0.9999998829871648,0.5146545088686417,0.5113764546720262,nZF139,response to peptide,1.601089528572824,0.2857142857142857
GOTERM_BP_FAT,GO:0043066~negative regulation of apoptotic process,4,25.0,0.0258111844681674,"3437, 664, 3312, 3397",14,975,19104,5.598241758241758,0.9999999281321642,0.5146545088686417,0.5113764546720262,nZF139,negative regulation of apoptotic process,1.5881920653443182,0.2857142857142857
GOTERM_BP_FAT,GO:0045648~positive regulation of erythrocyte differentiation,2,12.5,0.0262244335729244,"3312, 9636",14,39,19104,69.97802197802197,0.9999999449659784,0.5146545088686417,0.5113764546720262,nZF139,positive regulation of erythrocyte differentiation,1.5812938834512769,0.14285714285714285
GOTERM_BP_FAT,GO:0140546~defense response to symbiont,4,25.0,0.0277904421559013,"3437, 3434, 3433, 9636",14,1003,19104,5.44195983478137,0.9999999800028316,0.5235725159401543,0.5202376591507265,nZF139,defense response to symbiont,1.5561045433866991,0.2857142857142857
GOTERM_BP_FAT,GO:0098542~defense response to other organism,4,25.0,0.0289580933132013,"3437, 3434, 3433, 9636",14,1019,19104,5.356511986541427,0.9999999906095812,0.5235725159401543,0.5202376591507265,nZF139,defense response to other organism,1.538230036771019,0.2857142857142857
GOTERM_BP_FAT,GO:0043069~negative regulation of programmed cell death,4,25.0,0.0291799969074926,"3437, 664, 3312, 3397",14,1022,19104,5.340788370142578,0.9999999918669692,0.5235725159401543,0.5202376591507265,nZF139,negative regulation of programmed cell death,1.5349147584692626,0.2857142857142857
GOTERM_MF_FAT,GO:0140416~transcription regulator inhibitor activity,2,12.5,0.0327923196755586,"3399, 3397",13,48,17305,55.46474358974359,0.965525864509324,1.0,1.0,nZF139,transcription regulator inhibitor activity,1.4842278609560584,0.15384615384615385
GOTERM_BP_FAT,GO:0045071~negative regulation of viral genome replication,2,12.5,0.0348238487947995,"3434, 9636",14,52,19104,52.48351648351648,0.9999999997922504,0.6074826956426137,0.6036133791098582,nZF139,negative regulation of viral genome replication,1.4581232315538162,0.14285714285714285
GOTERM_BP_FAT,GO:0045646~regulation of erythrocyte differentiation,2,12.5,0.0367983482864225,"3312, 9636",14,55,19104,49.62077922077921,0.9999999999427032,0.6245773709154957,0.6205991711007472,nZF139,regulation of erythrocyte differentiation,1.4341716744294994,0.14285714285714285
GOTERM_BP_FAT,GO:0009628~response to abiotic stimulus,4,25.0,0.044207008903047,"54541, 664, 3312, 56901",14,1202,19104,4.541003090087949,0.9999999999995544,0.7178364862645962,0.7132642793457135,nZF139,response to abiotic stimulus,1.3545088689630929,0.2857142857142857
GOTERM_BP_FAT,GO:0030182~neuron differentiation,4,25.0,0.044579017459107,"54541, 3399, 3397, 124936",14,1206,19104,4.52594171997157,0.9999999999996512,0.7178364862645962,0.7132642793457135,nZF139,neuron differentiation,1.3508695077891704,0.2857142857142857
GOTERM_MF_FAT,GO:0003723~RNA binding,5,31.25,0.0464524790070973,"3437, 3434, 3312, 3433, 6638",13,2078,17305,3.202968830976531,0.9918044805847488,1.0,1.0,nZF139,RNA binding,1.3329911042672233,0.38461538461538464
KEGG_PATHWAY,hsa05134:Legionellosis,2,12.5,0.0468165701274479,"664, 3312",9,56,9375,37.20238095238095,0.8727702098847943,1.0,1.0,nZF139,Legionellosis,1.3296004067283786,0.2222222222222222
GOTERM_BP_FAT,GO:0008637~apoptotic mitochondrial changes,2,12.5,0.0479169280637811,"664, 3433",14,72,19104,37.904761904761905,0.9999999999999614,0.7321173026954348,0.7274541351623429,nZF139,apoptotic mitochondrial changes,1.3195110321820347,0.14285714285714285
GOTERM_BP_FAT,GO:0045668~negative regulation of osteoblast differentiation,2,12.5,0.0485672580319686,"3399, 3397",14,73,19104,37.38551859099804,0.9999999999999748,0.7321173026954348,0.7274541351623429,nZF139,negative regulation of osteoblast differentiation,1.3136564148551528,0.14285714285714285
GOTERM_BP_FAT,GO:0031397~negative regulation of protein ubiquitination,2,12.5,0.0518127616209556,"3312, 9636",14,78,19104,34.989010989010985,0.9999999999999972,0.7321173026954348,0.7274541351623429,nZF139,negative regulation of protein ubiquitination,1.2855632591936992,0.14285714285714285
GOTERM_BP_FAT,GO:0048525~negative regulation of viral process,2,12.5,0.0518127616209556,"3434, 9636",14,78,19104,34.989010989010985,0.9999999999999972,0.7321173026954348,0.7274541351623429,nZF139,negative regulation of viral process,1.2855632591936992,0.14285714285714285
GOTERM_BP_FAT,GO:0048699~generation of neurons,4,25.0,0.0521597380160406,"54541, 3399, 3397, 124936",14,1284,19104,4.251001335113484,0.9999999999999976,0.7321173026954348,0.7274541351623429,nZF139,generation of neurons,1.282664598611904,0.2857142857142857
GOTERM_BP_FAT,GO:0045661~regulation of myoblast differentiation,2,12.5,0.0524606347472843,"3399, 3486",14,79,19104,34.54611211573237,0.999999999999998,0.7321173026954348,0.7274541351623429,nZF139,regulation of myoblast differentiation,1.2801664589691641,0.14285714285714285
GOTERM_BP_FAT,GO:0045069~regulation of viral genome replication,2,12.5,0.0550480431619961,"3434, 9636",14,83,19104,32.88123924268502,0.9999999999999996,0.7436710435064355,0.738934285267541,nZF139,regulation of viral genome replication,1.2592581146404935,0.14285714285714285
GOTERM_BP_FAT,GO:0010628~positive regulation of gene expression,4,25.0,0.0556569093070103,"3312, 3399, 3397, 9636",14,1318,19104,4.14133969217429,0.9999999999999998,0.7436710435064355,0.738934285267541,nZF139,positive regulation of gene expression,1.254480914210724,0.2857142857142857
GOTERM_BP_FAT,GO:1903321~negative regulation of protein modification by small protein conjugation or removal,2,12.5,0.0602033054121323,"3312, 9636",14,91,19104,29.990580847723702,1.0,0.7876599124753982,0.7826429703577206,nZF139,negative regulation of protein modification by small protein conjugation or removal,1.220379663512264,0.14285714285714285
